,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
23,TCS,EQ,15-Jun-17,2470.2,2469.0,2469.7,2405.0,2410.0,2411.2,2427.94,1498599,3638509043.0,65157,1140716,76.12,6,2017,2540.419493662229,-0.023884705691846864,Slight positive
24,TCS,EQ,16-Jun-17,2411.2,2414.95,2435.0,2386.5,2395.0,2399.7,2402.96,1225213,2944142144.0,72001,709697,57.92,6,2017,2535.017346657355,-0.004769409422694104,Slight positive
25,TCS,EQ,19-Jun-17,2399.7,2416.9,2446.35,2405.15,2432.0,2431.7,2430.5,822371,1998776222.0,53034,493678,60.03,6,2017,2532.4220157778295,0.013335000208359427,Slight positive
26,TCS,EQ,20-Jun-17,2431.7,2431.0,2449.0,2380.3,2443.6,2445.0,2427.14,835479,2027828499.0,56385,443227,53.05,6,2017,2530.2464923767,0.0054694246823210335,Slight positive
27,TCS,EQ,21-Jun-17,2445.0,2440.0,2442.15,2397.2,2406.75,2406.3,2412.24,828909,1999530130.0,60134,488457,58.93,6,2017,2527.2600360550687,-0.01582822085889568,Slight positive
28,TCS,EQ,22-Jun-17,2406.3,2409.0,2431.0,2385.0,2391.45,2394.85,2403.02,2887941,6939787421.0,51314,2442403,84.57,6,2017,2517.0054913511894,-0.004758342683788497,Slight positive
29,TCS,EQ,23-Jun-17,2394.85,2399.4,2413.95,2354.0,2359.8,2361.7,2388.78,712378,1701711236.0,52090,347676,48.8,6,2017,2514.0941971743537,-0.013842203060734581,Slight positive
30,TCS,EQ,27-Jun-17,2361.7,2350.6,2384.7,2331.6,2348.0,2342.85,2357.33,987165,2327075045.0,61242,613618,62.16,6,2017,2509.758519046191,-0.00798153872210694,Slight positive
31,TCS,EQ,28-Jun-17,2342.85,2349.9,2358.0,2335.0,2346.25,2350.05,2345.89,894863,2099251694.0,46724,653390,73.02,6,2017,2506.1752362782036,0.0030731801011589788,Slight positive
32,TCS,EQ,29-Jun-17,2350.05,2359.0,2372.05,2323.1,2328.95,2333.25,2342.52,1235913,2895151089.0,41555,909603,73.6,6,2017,2500.977797395393,-0.007148784068424119,Slight positive
33,TCS,EQ,30-Jun-17,2333.25,2324.4,2377.0,2323.1,2361.0,2362.35,2361.01,876924,2070428288.0,45339,543014,61.92,6,2017,2498.0831804865375,0.012471873995499871,Slight positive
34,TCS,EQ,3-Jul-17,2362.35,2357.4,2383.05,2343.1,2371.0,2373.6,2368.46,737978,1747872336.0,39614,492755,66.77,7,2017,2495.9335305588406,0.004762207124261897,Slight positive
35,TCS,EQ,4-Jul-17,2373.6,2373.3,2380.45,2350.05,2360.8,2366.85,2366.9,607567,1438053125.0,24611,339629,55.9,7,2017,2494.1240755961767,-0.0028437815975732583,Slight positive
36,TCS,EQ,5-Jul-17,2366.85,2360.8,2365.0,2345.0,2358.0,2356.0,2354.42,407928,960433302.5,22153,216685,53.12,7,2017,2492.8362194686697,-0.004584151931892544,Slight positive
